nicht
mich
dass
eine
sind
dich
haben
hier
habe
noch
sich
einen
Nein
auch
hast
sein
kann
aber
Aber
schon
wenn
wird
bist
doch
meine
jetzt
weiß
Wenn
werden
nach
oder
dann
will
mein
mehr
keine
etwas
alles
muss
immer
nichts
wieder
machen
Mann
einem
können
sagen
werde
denn
Warum
einer
gehen
sehen
sehr
geht
alle
über
müssen
diese
einfach
euch
Also
Zeit
Ihnen
gibt
wirklich
Danke
deine
würde
soll
hatte
Hier
wissen
bitte
viel
Dann
gesagt
kein
Komm
zurück
wurde
wollte
Frau
Leben
wäre
damit
Nicht
Gott
Leute
kannst
heute
meinen
dieser
dein
kommt
kommen
willst
wollen
sicher
ganz
Jetzt
Mein
also
Hast
hätte
weil
Hallo
Okay
macht
waren
Vielleicht
könnte
Eine
Bitte
seine
lassen
Vater
gesehen
gerade
Alles
glaube
Geld
gemacht
nein
sollte
sagte
keinen
durch
zwei
diesen
passiert
wohl
vielleicht
ihre
Mutter
reden
anderen
dachte
möchte
wirst
gehört
weißt
Keine
raus
Meine
paar
besser
musst
Ordnung
meiner
klar
ihnen
diesem
meinem
lange
Lass
dieses
helfen
unsere
selbst
finden
jemand
denke
Nacht
genau
sagt
Welt
Mädchen
schön
warum
weiter
Leid
gleich
ohne
Menschen
deinen
leid
Wieso
dort
Hause
sollten
davon
zusammen
geben
machst
Freund
richtig
Angst
Bist
viele
sieht
Haus
sollen
ganze
andere
getan
okay
rein
Diese
Moment
bleiben
brauchen
Weil
Kinder
unter
Arbeit
Problem
dafür
Herr
Haben
wegen
Jack
liebe
genug
dabei
bringen
Ihre
gegen
Weißt
schnell
eines
brauche
Abend
hatten
Jahre
Mach
Bruder
Sache
hören
komm
Sohn
seit
Morgen
drei
steht
Scheiße
unser
konnte
habt
Oder
einmal
heißt
Willst
Kopf
Hilfe
Familie
Baby
Dich
Sind
erst
fertig
gefunden
seid
nehmen
morgen
sprechen
sofort
Kann
Jahren
Kind
seinen
Genau
daran
Junge
Minuten
bevor
Stadt
beim
sterben
warst
Recht
glauben
Warte
darüber
deiner
lhre
deinem
Ende
Dinge
Namen
wahr
Alle
allein
Natürlich
töten
Nichts
Wirklich
bekommen
Männer
vergessen
Doch
dazu
später
wusste
Augen
Dank
Freunde
Jungs
halten
warten
Glück
beide
gute
Dein
kennen
Deine
Auto
sage
gehe
komme
mache
sehe
Teufel
sonst
gern
Liebe
jeden
könnten
ihren
Halt
Fall
Film
bisschen
eigentlich
weit
mach
vorbei
verstehe
danke
drin
Name
ganzen
Musik
würden
verrückt
solltest
denken
Noch
dran
Sieh
lieber
leben
Guten
darauf
Kein
stimmt
John
Kerl
letzte
verloren
wurden
kenne
Ahnung
seiner
Grund
toll
Verdammt
bald
bereit
jemanden
hinter
Schon
Sehr
Hand
darf
Dieser
Frauen
Euch
Idee
runter
Macht
draußen
lang
Land
lass
hätten
egal
arbeiten
spät
stehen
Gute
gekommen
etwa
essen
kleine
jeder
Schwester
Wasser
spielen
Geschichte
seinem
liegt
Seite
wenig
ruhig
Frage
meinst
überhaupt
fahren
Ganz
Gehen
Essen
Ruhe
echt
versucht
Tochter
Kommt
Einen
ging
Jahr
braucht
fast
neue
ziemlich
anders
siehst
Polizei
Stunden
musste
Spiel
gewesen
gerne
finde
erzählt
Chance
bedeutet
sagst
fragen
letzten
sogar
ersten
Sachen
Wahrheit
einzige
kurz
denen
Kommen
Spaß
Nach
oben
Mama
schwer
Schule
eben
Gesicht
bestimmt
treffen
niemand
Woche
Entschuldigung
Sorgen
warte
natürlich
schlecht
große
getötet
verstehen
hoffe
Zimmer
hoch
unserer
Tage
Teil
Wann
suchen
verlassen
zeigen
wollten
lässt
Wort
eins
zwischen
Woher
Schatz
Wissen
versuchen
Können
Kannst
nett
kriegen
Geht
Arsch
kleinen
weiss
erste
läuft
kommst
Freundin
Mensch
beiden
Ding
niemals
endlich
Nimm
gehst
Heute
denkst
Herz
Waffe
Soll
tust
Dollar
nehme
Schau
holen
drauf
anderes
Niemand
unten
Wagen
Yeah
Schön
wichtig
hättest
allen
Miss
ihrer
gedacht
Nummer
würdest
erzählen
bleibt
Auch
Hände
Blut
Sehen
bloß
recht
bringt
Bett
Lassen
Eltern
gefällt
Schuld
eure
Plan
Krieg
neuen
Klar
retten
guter
während
ihrem
wären
Fehler
scheint
Lasst
gegeben
glücklich
verdammt
Platz
darum
Vielen
falsch
unseren
schlafen
Sagen
nächsten
fünf
frei
Sorge
fest
bereits
alleine
Denn
Zwei
Fragen
möglich
irgendwie
Papa
lernen
gestern
hierher
Schiff
vier
irgendwas
Stimmt
Menge
keiner
brauchst
Typen
Dass
Stunde
Szene
Hölle
einige
Deshalb
geworden
Telefon
Darf
Feuer
Wollen
Alter
Captain
Dieses
Probleme
Jeder
verstanden
wann
alten
sondern
guten
zwar
eigenen
Körper
hört
gebe
Kumpel
Hund
nochmal
früh
Hören
trinken
besten
meines
schaffen
alte
Luft
Jemand
dürfen
Meister
Erde
Seit
Sicher
Hört
Zukunft
kaum
funktioniert
voll
Bleib
reicht
stellen
Siehst
kleiner
großen
Waffen
Büro
Wahl
verlieren
Wochen
Damit
Stück
lieben
allem
getroffen
geschafft
gefallen
Boss
überall
Sieht
passieren
lustig
Licht
gebracht
nennen
Folge
Gefühl
völlig
denkt
Schlüssel
drüben
Richtig
wieso
Leuten
Buch
laufen
spielt
früher
Sein
krank
gegangen
fand
Seine
Pass
fühle
Himmel
froh
leicht
direkt
langsam
wolltest
erinnern
zuerst
Krankenhaus
Viel
beste
welche
genommen
Arzt
unserem
Idiot
Machen
glaubst
jede
Ohne
groß
hattest
Jungen
Rest
Unsere
versuche
Tagen
nächste
Entschuldigen
Doktor
spricht
könnt
hält
Team
Verstanden
kämpfen
heiraten
könntest
Mike
Etwas
Straße
Mist
König
redest
kleines
lebt
erklären
worden
Millionen
Wiedersehen
Onkel
kennst
sitzen
dies
weniger
Kaffee
ernst
wollt
tragen
Zeug
trotzdem
Michael
Ihren
kaufen
Liste
ändern
Kampf
hasse
Person
Mund
